RduID,Longitude,Latitude,Date,Mtemp
4,-78.6904,36.0229,1988-07,78.7
4,-78.6904,36.0229,1989-07,77.7
4,-78.6904,36.0229,1990-07,80.1
4,-78.6904,36.0229,1991-07,80.9
4,-78.6904,36.0229,1992-07,79.8
4,-78.6904,36.0229,1993-07,82.5
4,-78.6904,36.0229,1994-07,80.2
4,-78.6904,36.0229,1995-07,79.9
4,-78.6904,36.0229,1996-07,78.7
4,-78.6904,36.0229,1997-07,79.6
4,-78.6904,36.0229,1998-07,79.5
4,-78.6904,36.0229,1999-07,79.9
4,-78.6904,36.0229,2000-07,76.1
4,-78.6904,36.0229,2001-07,76.1
4,-78.6904,36.0229,2002-07,80.8
4,-78.6904,36.0229,2003-07,77.8
4,-78.6904,36.0229,2004-07,79
4,-78.6904,36.0229,2005-07,81.8
4,-78.6904,36.0229,2006-07,79.3
4,-78.6904,36.0229,2007-07,77.8
4,-78.6904,36.0229,2008-07,77.8
4,-78.6904,36.0229,2009-07,77.2
4,-78.6904,36.0229,2010-07,81.2
4,-78.6904,36.0229,2011-07,82.4
4,-78.6904,36.0229,2012-07,82.6
4,-78.6904,36.0229,2013-07,78.6
4,-78.6904,36.0229,2014-07,76.4
4,-78.6904,36.0229,2015-07,77.9
4,-78.6904,36.0229,2016-07,79.7
4,-78.6904,36.0229,2017-07,79.5
4,-78.6904,36.0229,2018-07,78
4,-78.6904,36.0229,2019-07,80.2
4,-78.6904,36.0229,2020-07,80.8
,,,,
5,-78.5884,36.4112,1975-07,75.6
5,-78.5884,36.4112,1976-07,76.4
5,-78.5884,36.4112,1977-07,79.9
5,-78.5884,36.4112,1978-07,75.9
5,-78.5884,36.4112,1979-07,75.2
5,-78.5884,36.4112,1980-07,78.5
5,-78.5884,36.4112,1981-07,77.3
5,-78.5884,36.4112,1982-07,77.5
5,-78.5884,36.4112,1983-07,78.6
5,-78.5884,36.4112,1984-07,75
5,-78.5884,36.4112,1985-07,76.3
5,-78.5884,36.4112,1986-07,80.6
5,-78.5884,36.4112,1987-07,80.2
5,-78.5884,36.4112,1988-07,77.9
5,-78.5884,36.4112,1989-07,77.2
5,-78.5884,36.4112,1990-07,79.1
5,-78.5884,36.4112,1991-07,79.8
5,-78.5884,36.4112,1992-07,78.6
5,-78.5884,36.4112,1993-07,80.6
5,-78.5884,36.4112,1994-07,79.2
5,-78.5884,36.4112,1995-07,78.8
5,-78.5884,36.4112,1996-07,77.3
5,-78.5884,36.4112,1997-07,77.9
5,-78.5884,36.4112,1998-07,78.3
5,-78.5884,36.4112,1999-07,79.3
5,-78.5884,36.4112,2000-07,74.9
5,-78.5884,36.4112,2001-07,74.7
5,-78.5884,36.4112,2002-07,80.2
5,-78.5884,36.4112,2003-07,76.6
5,-78.5884,36.4112,2004-07,77.3
5,-78.5884,36.4112,2005-07,81
5,-78.5884,36.4112,2006-07,78.2
5,-78.5884,36.4112,2007-07,76.9
5,-78.5884,36.4112,2008-07,77.6
5,-78.5884,36.4112,2009-07,75.5
5,-78.5884,36.4112,2010-07,80.4
5,-78.5884,36.4112,2011-07,80.9
5,-78.5884,36.4112,2012-07,81.5
5,-78.5884,36.4112,2013-07,77.6
5,-78.5884,36.4112,2014-07,76.7
5,-78.5884,36.4112,2015-07,77.9
5,-78.5884,36.4112,2016-07,79.9
5,-78.5884,36.4112,2017-07,79.5
5,-78.5884,36.4112,2018-07,77.2
5,-78.5884,36.4112,2019-07,79.5
5,-78.5884,36.4112,2020-07,81.1
,,,,
6,-78.7475,36.2563,1975-07,75.8
6,-78.7475,36.2563,1976-07,77
6,-78.7475,36.2563,1977-07,80.5
6,-78.7475,36.2563,1978-07,76.3
6,-78.7475,36.2563,1979-07,75.7
6,-78.7475,36.2563,1980-07,78.6
6,-78.7475,36.2563,1981-07,77.9
6,-78.7475,36.2563,1982-07,77.8
6,-78.7475,36.2563,1983-07,79
6,-78.7475,36.2563,1984-07,75.1
6,-78.7475,36.2563,1985-07,76.7
6,-78.7475,36.2563,1986-07,81
